Wuhan/WH01/2019,L,0,19A,China,Hubei,EPI_ISL_406798,Human,B,Asia,19A,12/26/2019
Australia/SA04/2020,O,0,19A,Australia,South Australia,EPI_ISL_480781,Human,B.1,Oceania,19A,1/30/2020
Australia/VPRL014/2020,O,0,19A,Australia,South Australia,EPI_ISL_455603,Human,B.1,Oceania,19A,1/30/2020
Australia/SA01/2020,O,0,19A,Australia,South Australia,EPI_ISL_480778,Human,B.1,Oceania,19A,1/30/2020
Wuhan/HB-WH4-200/2020,O,0,19A,China,Hubei,EPI_ISL_454952,Human,B,Asia,19A,2/19/2020
SouthKorea/KCDC2002/2020,S,0,19B,South Korea,South Korea,EPI_ISL_425118,Human,A,Asia,19B,1/30/2020
Australia/VIC13/2020,S,0,19B,Australia,Victoria,EPI_ISL_419733,Human,B,Oceania,19B,1/31/2020
India/MH-1-31/2020,S,0,19B,China,China,EPI_ISL_413523,Human,B,Asia,19B,1/31/2020
Malaysia/MKAK-CL-2020-5096/2020,S,0,19B,Malaysia,Selangor,EPI_ISL_416885,Human,A,Asia,19B,1/30/2020
UnitedArabEmirates/skmc-920168117/2020,S,0,19B,United Arab Emirates,United Arab Emirates,EPI_ISL_582125,Human,A,Asia,19B,1/28/2020
Guangdong/GZ-S6-P0050/2020,S,1,19B,China,Guangdong,EPI_ISL_413873,Human,A,Asia,19B,2/28/2020
USA/NC-UNC-LCCC0007/2020,S,0,19B,USA,North Carolina,EPI_ISL_877591,Human,A,North America,19B,3/30/2020
Mexico/ZAC-InDRE-IBT-49/2020,S,1,19B,Mexico,Zacatecas,EPI_ISL_1301519,Human,A.3,North America,19B,4/30/2020
USA/NE-11163/2020,S,0,19B,USA,Nebraska,EPI_ISL_475201,Human,A.3,North America,19B,5/4/2020
Taiwan/CGMH-CGU-29/2020,S,0,19B,Taiwan,Taiwan,EPI_ISL_464093,Human,A.3,Asia,19B,4/2/2020
USA/MD-MDH-0081/2020,S,0,19B,USA,Maryland,EPI_ISL_509485,Human,A.3,North America,19B,5/25/2020
Singapore/20/2020,S,0,19B,Singapore,Singapore,EPI_ISL_418993,Human,A,Asia,19B,1/29/2020
USA/WA-S89/2020,S,1,19B,USA,Oregon,EPI_ISL_417142,Human,A.1,North America,19B,2/29/2020
USA/WA-S1203/2020,S,0,19B,USA,Washington,EPI_ISL_463693,Human,A.1,North America,19B,5/6/2020
USA/CA-CDPH-UC6/2020,S,0,19B,USA,Grand Princess,EPI_ISL_413924,Human,A.1,North America,19B,3/5/2020
Mexico/DUR-InDRE-09/2020,S,1,19B,Mexico,Durango,EPI_ISL_455432,Human,A.1,North America,19B,3/11/2020
env/USA/FL-UF11/2020,S,0,19B,USA,Florida,EPI_ISL_447900,Environment,A.1,North America,19B,2/21/2020
Australia/QLDID919/2020,S,0,19B,Australia,Queensland,EPI_ISL_417031,Human,A.1,Oceania,19B,3/11/2020
Australia/VIC953/2020,S,0,19B,Australia,Victoria,EPI_ISL_430645,Human,A.1,Oceania,19B,3/26/2020
USA/NE-886/2020,S,0,19B,USA,Nebraska,EPI_ISL_428203,Human,A.1,North America,19B,3/25/2020
NewZealand/20VR1978/2020,S,1,19B,New Zealand,Southern,EPI_ISL_579185,Human,A.1,Oceania,19B,4/7/2020
Taiwan/3/2020,S,0,19B,Taiwan,Taiwan,EPI_ISL_411926,Human,A,Asia,19B,1/24/2020
Singapore/51/2020,S,0,19B,Singapore,Singapore,EPI_ISL_428830,Human,B,Asia,19B,2/27/2020
Singapore/43/2020,S,0,19B,Singapore,Singapore,EPI_ISL_428822,Human,B,Asia,19B,2/16/2020
Bolivia/26958/2020,S,0,19B,Bolivia,Singapore,EPI_ISL_837576,Human,A.5,South America,19B,3/31/2020
